c,theta,network,optimal_tau
0.13999999999999999,1.3,G2,0.10620892850056923
0.13999999999999999,1.3,G3,0.06854813882010348
0.13999999999999999,1.4000000000000001,G1,0.012284159219080675
0.13999999999999999,1.4000000000000001,G2,0.10203868701457444
0.13999999999999999,1.4000000000000001,G3,0.06544301557549843
0.13999999999999999,1.5,G1,0.011776628265229237
0.13999999999999999,1.5,G2,0.09842934904923084
0.13999999999999999,1.5,G3,0.06273843314390672
0.13999999999999999,1.6,G1,0.011329804020258658
0.13999999999999999,1.6,G2,0.09528417086582773
0.13999999999999999,1.6,G3,0.06036662453632318
0.13999999999999999,1.7000000000000002,G1,0.010933591492385809
0.13999999999999999,1.7000000000000002,G2,0.09252261924846876
0.13999999999999999,1.7000000000000002,G3,0.0582778932268535
0.13999999999999999,1.8,G1,0.01058015137160881
0.13999999999999999,1.8,G2,0.09008227030911219
0.13999999999999999,1.8,G3,0.05642825761869878
0.13999999999999999,1.9000000000000001,G1,0.010264259741416338
0.13999999999999999,1.9000000000000001,G2,0.08791361382060156
0.13999999999999999,1.9000000000000001,G3,0.05478252575771282
0.13999999999999999,2.0,G1,0.009978711682080466
0.13999999999999999,2.0,G2,0.08597744403917924
0.13999999999999999,2.0,G3,0.05331341656144855
0.16,0.0,G1,0.044246390719421234
0.16,0.0,G2,0.4680465740444101
0.16,0.0,G3,0.2454124366070501
0.16,0.1,G1,0.03846788009975713
0.16,0.1,G2,0.3805593159069307
0.16,0.1,G3,0.21245478733988254
0.16,0.2,G1,0.03366365658117372
0.16,0.2,G2,0.31455088970110345
0.16,0.2,G3,0.18519372558480754
0.16,0.30000000000000004,G1,0.02970003873382387
0.16,0.30000000000000004,G2,0.26515384643581896
0.16,0.30000000000000004,G3,0.16276437600858837
0.16,0.4,G1,0.02645273189449215
0.16,0.4,G2,0.22833900247473748
0.16,0.4,G3,0.14440074319868518
0.16,0.5,G1,0.023795592770780253
0.16,0.5,G2,0.20078535565043104
0.16,0.5,G3,0.12940317338953755
0.16,0.6000000000000001,G1,0.021624925100130386
0.16,0.6000000000000001,G2,0.17989999657919317
0.16,0.6000000000000001,G3,0.11715247152026705
0.16,0.7000000000000001,G1,0.01983993191150026
0.16,0.7000000000000001,G2,0.16378730749137585
0.16,0.7000000000000001,G3,0.10710847696891375
0.16,0.8,G1,0.018358194372584985
0.16,0.8,G2,0.1511055780548511
0.16,0.8,G3,0.09882293051187818
0.16,0.9,G1,0.017120390497147486
0.16,0.9,G2,0.1409392779544595
0.16,0.9,G3,0.0919352286807795
0.16,1.0,G1,0.01607393400760157
0.16,1.0,G2,0.13264505837959117
0.16,1.0,G3,0.08615903485524733
0.16,1.1,G1,0.015183544559486964
0.16,1.1,G2,0.12577595806609865
0.16,1.1,G3,0.08126983634983058
0.16,1.2000000000000002,G1,0.014419446898231346
0.16,1.2000000000000002,G2,0.12001060484060037
0.16,1.2000000000000002,G3,0.07710205610661282
0.16,1.3,G1,0.013757066960545813
0.16,1.3,G2,0.1151137145796862
0.16,1.3,G3,0.07351605575935406
0.16,1.4000000000000001,G1,0.013179952312791276
0.16,1.4000000000000001,G2,0.11091236938055733
0.16,1.4000000000000001,G3,0.07041060545543715
0.16,1.5,G1,0.01267261040280878
0.16,1.5,G2,0.10727696884271391
0.16,1.5,G3,0.06770212948135604
0.16,1.6,G1,0.012223969698957048
0.16,1.6,G2,0.10410514688760376
0.16,1.6,G3,0.0653286492266502
0.16,1.7000000000000002,G1,0.011825202050138811
0.16,1.7000000000000002,G2,0.10131785587180826
0.16,1.7000000000000002,G3,0.06323430334312354
0.16,1.8,G1,0.011469971640761883
0.16,1.8,G2,0.09885157301437297
0.16,1.8,G3,0.061376780903393637
0.16,1.9000000000000001,G1,0.011151739270183132
0.16,1.9000000000000001,G2,0.09666018239518447
0.16,1.9000000000000001,G3,0.05972395331311399
0.16,2.0,G1,0.010865436431372243
0.16,2.0,G2,0.09470186219092186
0.16,2.0,G3,0.058246329349736
0.18,0.0,G1,0.045009174641758826
0.18,0.0,G2,0.4761166115110984
0.18,0.0,G3,0.24964344872349614
0.18,0.1,G1,0.039234287365089326
0.18,0.1,G2,0.3886863388525769
0.18,0.1,G3,0.21670467312369318
0.18,0.2,G1,0.034441719044936044
0.18,0.2,G2,0.3228322394514856
0.18,0.2,G3,0.18950026742861145
